#Bond_length      E0              E1                      E2
1.0   -199.6879965078774    -199.55218979287883    -199.46213710632935
1.1   -199.7738655805178    -199.63806880947863    -199.55282117856763
1.2   -199.83113386816308   -199.69536080796996    -199.61711894837026
1.3   -199.86821883257088   -199.73248490272007    -199.6627726271104
1.4   -199.8912796644798    -199.75560425330008    -199.6951973483317
1.5   -199.90463642227962   -199.76904645218374    -199.71811992127385
1.6   -199.91126771143624   -199.77580305827087    -199.73407523924212
1.7   -199.9132553244706    -199.7779777074548     -199.74479117277698
1.8   -199.91209471084542   -199.77710277499938    -199.7514596465794
1.9   -199.90888444645634   -199.7743375803044     -199.75491227185915
2.0   -199.90443905947677   -199.7705820620442     -199.75573810224867
2.1   -199.89935997503903   -199.76649655434028    -199.75440963748065
2.2   -199.89408397090838   -199.7624120493931     -199.75146696626098
2.3   -199.8889188244715    -199.7583317425066     -199.74757907940753
2.4   -199.88407105794985   -199.75417785523106    -199.74334029771367
2.5   -199.8796683621328    -199.7499702569904     -199.739122570157
2.6   -199.8757780634038    -199.74582058089942    -199.73510435246078
2.7   -199.87242240812668   -199.74188054368105    -199.7313401689375
2.8   -199.86959120207007   -199.73830137367597    -199.72781590753073
2.9   -199.86725222105895   -199.73520010816543    -199.72449539505428
3.0   -199.86535967207448   -199.7326326135472     -199.72135904762754
3.1   -199.8638608451798    -199.73058805255582    -199.71841992169828
3.2   -199.8627010332032    -199.72900916795066    -199.7157124852851
3.3   -199.86182685073388   -199.72782034159323    -199.71327182767322
3.4   -199.861188223206     -199.72694651317428    -199.711120203467
3.5   -199.86073944846504   -199.72632104016168    -199.7092632411032
