"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.889879966356421 -7.916504666882968
1.1 -7.929630124648493 -7.955782723035619
1.2 -7.955946361563482 -7.981900961640562
1.3 -7.972645124653472 -7.99862723815607
1.4 -7.982460432919621 -8.008650613663853
1.5 -7.9873574836492285 -8.013917522489782
1.6 -7.988755789060149 -8.01580143413877
1.7 -7.987683604124235 -8.01530123972557
1.8 -7.984886429965967 -8.01314736475689
1.9 -7.980921366507523 -8.009874584790666
2.0 -7.976310985453929 -8.00587363526573
2.1 -7.970959608952352 -8.001428433114866
2.2 -7.966148448336595 -7.99673786159369
2.3 -7.961214415919729 -7.991951013684258
2.4 -7.956250768027618 -7.986911244622239
2.5 -7.9513235832862525 -7.982242606664902
2.6 -7.946481189451494 -7.977713803201372
2.7 -7.9417603048542365 -7.973365404810114
2.8 -7.9371897462954 -7.96922728345674
2.9 -7.9327924824512674 -7.965558312136079
3.0 -7.92858664176323 -7.961878489199573
