
Host: chemh128rt3lws

Timers On : Thu Jan 23 17:24:09 2025
Timers Off: Thu Jan 23 17:25:25 2025

Wall Time:       76.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      2.050u      0.150s      0.096w     10 calls
Libint2ERI::Libint2ERI              :      0.500u      0.033s      0.047w     40 calls
HF: Form core H                     :      0.933u      0.083s      0.044w     10 calls
HF: Form S/X                        :      0.017u      0.017s      0.002w     10 calls
HF: Guess                           :      6.900u      0.567s      0.328w     10 calls
SAD Guess                           :      6.533u      0.533s      0.311w     10 calls
HF: Form G                          :      0.167u      0.033s      0.009w    116 calls
JK: D                               :      0.017u      0.000s      0.001w    116 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    116 calls
JK: JK                              :      0.150u      0.017s      0.006w    116 calls
PK computes JK                      :      0.150u      0.017s      0.006w    116 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    116 calls
HF: Form F                          :      0.017u      0.000s      0.001w    116 calls
HF: Form D                          :      0.000u      0.000s      0.000w    116 calls
HF: DIIS                            :      4.300u      0.233s      0.278w    106 calls
HF: Form C                          :      0.350u      0.067s      0.031w    106 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      2.050u      0.150s      0.096w     10 calls
| Libint2ERI::Libint2ERI            :      0.467u      0.033s      0.027w     20 calls
HF: Form core H                     :      0.933u      0.083s      0.044w     10 calls
HF: Form S/X                        :      0.017u      0.017s      0.002w     10 calls
HF: Guess                           :      6.900u      0.567s      0.328w     10 calls
| SAD Guess                         :      6.533u      0.533s      0.311w     10 calls
HF: Form G                          :      0.167u      0.033s      0.009w    116 calls
| JK: D                             :      0.017u      0.000s      0.001w    116 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    116 calls
| JK: JK                            :      0.150u      0.017s      0.006w    116 calls
| | PK computes JK                  :      0.150u      0.017s      0.006w    116 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    116 calls
HF: Form F                          :      0.017u      0.000s      0.001w    116 calls
HF: Form D                          :      0.000u      0.000s      0.000w    116 calls
HF: DIIS                            :      4.300u      0.233s      0.278w    106 calls
HF: Form C                          :      0.350u      0.067s      0.031w    106 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.020w     20 calls

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Thu May  1 12:42:08 2025
Timers Off: Thu May  1 12:42:12 2025

Wall Time:        4.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Thu May  1 12:53:37 2025
Timers Off: Thu May  1 12:53:39 2025

Wall Time:        1.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Thu May  1 12:56:13 2025
Timers Off: Thu May  1 12:56:16 2025

Wall Time:        2.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Thu May  1 12:56:44 2025
Timers Off: Thu May  1 12:56:47 2025

Wall Time:        2.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.017s      0.009w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.007w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.167s      0.023w      1 calls
SAD Guess                           :      0.033u      0.167s      0.022w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w     11 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      0.000u      0.000s      0.000w     11 calls
PK computes JK                      :      0.000u      0.000s      0.000w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.033s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.033u      0.017s      0.015w     10 calls
HF: Form C                          :      0.000u      0.000s      0.001w     10 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.017s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.006w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.167s      0.023w      1 calls
| SAD Guess                         :      0.033u      0.167s      0.022w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w     11 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      0.000u      0.000s      0.000w     11 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.033s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.033u      0.017s      0.015w     10 calls
HF: Form C                          :      0.000u      0.000s      0.001w     10 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      2 calls

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Thu May  1 13:01:39 2025
Timers Off: Thu May  1 13:02:00 2025

Wall Time:       21.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.167s      0.020w      1 calls
SAD Guess                           :      0.017u      0.167s      0.020w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w     11 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      0.000u      0.000s      0.000w     11 calls
PK computes JK                      :      0.000u      0.000s      0.000w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.033s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.033u      0.033s      0.015w     10 calls
HF: Form C                          :      0.000u      0.000s      0.001w     10 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.167s      0.020w      1 calls
| SAD Guess                         :      0.017u      0.167s      0.020w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w     11 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      0.000u      0.000s      0.000w     11 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.033s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.033u      0.033s      0.015w     10 calls
HF: Form C                          :      0.000u      0.000s      0.001w     10 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      2 calls

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Thu May  1 13:04:25 2025
Timers Off: Thu May  1 13:04:46 2025

Wall Time:       21.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
