#Bond_length        E0              E1                     E2
1.0    -199.68454669965104    -199.55293927254323    -199.45242970736237
1.1    -199.7704136832576     -199.63899511883517    -199.54304049791702
1.2    -199.82763659056351    -199.69668186335       -199.60685105766524
1.3    -199.8646350137076     -199.73442491988493    -199.65163870250285
1.4    -199.88757057435126    -199.75841122977       -199.6828261003246
1.5    -199.9007686637649     -199.77300683265588    -199.70412872700624
1.6    -199.90721549566547    -199.78123328377237    -199.71807551731436
1.7    -199.90900104384554    -199.7851778239719     -199.7264314612797
1.8    -199.9076285818772     -199.7862681213115     -199.73051181710588
1.9    -199.9042039351142     -199.78544722393178    -199.7313828898976
2.0    -199.89954824228766    -199.78331239792442    -199.72995576330814
2.1    -199.89426874471715    -199.7802432106903     -199.72700353907942
2.2    -199.8888070353953     -199.77650516789674    -199.72314999003868
2.3    -199.88347458406787    -199.77231433673472    -199.71886488307453
2.4    -199.87848053442318    -199.76786652607194    -199.7144758662656
2.5    -199.8739543326426     -199.7633441277755     -199.71019237845547
2.6    -199.8699644512867     -199.75891227454295    -199.70613449800067
2.7    -199.86653389219643    -199.75471158060236    -199.70236128050973
2.8    -199.86365298233582    -199.75085153508144    -199.69889508923922
2.9    -199.86128989749537    -199.74740677306477    -199.69574003957015
3.0    -199.8593991939242     -199.74441716473174    -199.6928939812925
3.1    -199.85792844462003    -199.74189151246185    -199.69247712387383
3.2    -199.8568229942935     -199.73981370335625    -199.69259123888924
3.3    -199.85602893574048    -199.73814973117825    -199.69277781797524
3.4    -199.8554946409429     -199.73685423332313    -199.69302485934384
3.5    -199.85517142670437    -199.7358758749296     -199.69331861781444
