#Bond_length    E0                  E1                     E2
1.0   -199.71623804941171    -199.48751723154746    -199.42816872074474
1.1   -199.8012951145916     -199.57728096727766    -199.51425689559977
1.2   -199.85758361987953    -199.6406901588325     -199.57497466677736
1.3   -199.8935995365014     -199.68546611223658    -199.61783232018567
1.4   -199.9155657811402     -199.71708629255295    -199.6481680816164
1.5   -199.9278472755221     -199.73934593453305    -199.66968975944175
1.6   -199.93343730153615    -199.75481294193233    -199.68492459339944
1.7   -199.93440845672862    -199.76522324944256    -199.69560151354605
1.8   -199.9322364952079     -199.77178025189892    -199.70293394629115
1.9   -199.92800308273573    -199.77535067123705    -199.707802115434
2.0   -199.92251700901073    -199.77658397346622    -199.71086261818414
2.1   -199.91638711324782    -199.77598524035207    -199.71261446185667
2.2   -199.91006811202647    -199.77396049251826    -199.71344047934758
2.3   -199.90389124539095    -199.7708455012094     -199.71363453287506
2.4   -199.89808661356946    -199.76692446454825    -199.71342038547638
2.5   -199.89280114728814    -199.7624422065279     -199.712965598134
2.6   -199.88811447988257    -199.7576115444952     -199.7123924527452
2.7   -199.88402053990117    -199.7522460634915     -199.71205539942056
2.8   -199.8806619975505     -199.7473312703766     -199.71147546468106
2.9   -199.87782699672056    -199.74259068052237    -199.71084041663653
3.0   -199.87553933980132    -199.73800354404275    -199.71050110239773
3.1   -199.87365691887828    -199.7337762779648     -199.71012713790566
3.2   -199.87214435300322    -199.72991500485801    -199.70982892016292
3.3   -199.87094794800714    -199.72643315575445    -199.70960960812033
3.4   -199.87000980561936    -199.72335052063107    -199.70946063459172
3.5   -199.86925195086522    -199.72074931953628    -199.70930531059346
