#Bond_length      E0                 E1                    E2
1.0   -199.71690776475845    -199.58108442706072    -199.48718442434551
1.1   -199.8018896752839     -199.66607100357484    -199.57697371494572
1.2   -199.85815694336762    -199.72235816860078    -199.6403689547643
1.3   -199.89417900805353    -199.75841421263675    -199.6851115466807
1.4   -199.91616319707458    -199.7804497827098     -199.7166851318761
1.5   -199.92845624567425    -199.79281851202532    -199.73888994094594
1.6   -199.93404560213156    -199.79852023663796    -199.7542783968871
1.7   -199.93500495330576    -199.7996505875269     -199.76455625589358
1.8   -199.93281082245852    -199.79772593373798    -199.77087934484086
1.9   -199.9285447544191     -199.7939029518971     -199.77403189019614
2.0   -199.92301762833975    -199.78913041178282    -199.7745219603892
2.1   -199.91684309162957    -199.78420191375204    -199.77267653805907
2.2   -199.91048077768332    -199.77955479584924    -199.76892832634547
2.3   -199.90426517138394    -199.77507499186916    -199.7640660443267
2.4   -199.89842760754516    -199.7704987310639     -199.75887212643443
2.5   -199.8931147385396     -199.76575203797256    -199.753813292903
2.6   -199.88840523595556    -199.7609145874685     -199.749100848253
2.7   -199.88432457068464    -199.75613701696244    -199.74479397662842
2.8   -199.88085799823202    -199.7516011659237     -199.7408565353462
2.9   -199.87796277293796    -199.74749478354963    -199.73719466409355
3.0   -199.87557971667465    -199.7439723130144     -199.73370466099425
3.1   -199.87364359488654    -199.74110297791742    -199.73033190996296
3.2   -199.87208876048354    -199.738852349942      -199.72709828322817
3.3   -199.87085334975973    -199.73712177258565    -199.72406998008617
3.4   -199.86988396775425    -199.73580258091283    -199.72130746896084
3.5   -199.86913838726488    -199.73480551716443    -199.71884165317368
