#Bond_Length	E0		E1		E2
1.0     -199.7206       -199.5845       -199.4909			
1.1	-199.8048	-199.6688	-199.5801
1.2	-199.8607	-199.7247	-199.6431
1.3	-199.8964	-199.7604	-199.6877
1.4	-199.9183	-199.7823	-199.7193
1.5	-199.9306	-199.7946	-199.7416
1.6	-199.9362	-199.8002	-199.7572
1.7	-199.9373	-199.8013	-199.7678
1.8	-199.9351	-199.7991	-199.7744
1.9	-199.9308	-199.7948	-199.7781
2.0	-199.9253	-199.7893	-199.7794
2.1	-199.9191   -199.7831   -199.7789
2.2	-199.9127   -199.7767   -199.7769
2.3	-199.9064   -199.7704   -199.7738
2.4	-199.9005   -199.7645   -199.7699
2.5	-199.8951   -199.7591   -199.7654
2.6	-199.8903   -199.7543   -199.7605
2.7	-199.8862   -199.7502   -199.7555
2.8	-199.8826   -199.7466   -199.7504
2.9	-199.8797   -199.7437   -199.7454
3.0	-199.8772	-199.7412	-199.7407
3.1	-199.8752	-199.7392	-199.7363
3.2	-199.8736	-199.7376	-199.7323
3.3	-199.8723	-199.7363	-199.7287
3.4	-199.8713	-199.7353	-199.7255
3.5	-199.8705	-199.7345	-199.7227
