theta,phi,meta_energy,para_energy,ortho_energy,ortho_minus_meta_kcalmol,para_minus_meta_kcalmol
0.0000000000,0.0000000000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219990,5.2220002953
0.0000000000,15.6521740000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220024,5.2220002961
0.0000000000,31.3043480000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219993,5.2220002964
0.0000000000,46.9565220000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220010,5.2220002973
0.0000000000,62.6086960000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220013,5.2220002970
0.0000000000,78.2608700000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220019,5.2220002961
0.0000000000,93.9130430000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220007,5.2220002964
0.0000000000,109.5652170000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220013,5.2220002961
0.0000000000,125.2173910000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219990,5.2220002967
0.0000000000,140.8695650000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220021,5.2220002956
0.0000000000,156.5217390000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220016,5.2220002970
0.0000000000,172.1739130000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220010,5.2220002978
0.0000000000,187.8260870000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220016,5.2220002964
0.0000000000,203.4782610000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220019,5.2220002984
0.0000000000,219.1304350000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220013,5.2220002970
0.0000000000,234.7826090000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219993,5.2220002950
0.0000000000,250.4347830000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219999,5.2220002961
0.0000000000,266.0869570000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220021,5.2220002978
0.0000000000,281.7391300000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220013,5.2220002967
