
Host: CHEMYY31VALT

Timers On : Wed May 29 09:26:10 2024
Timers Off: Thu Jun 13 12:19:10 2024

Wall Time:  1306379.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEMYY31VALT

Timers On : Thu Jun 13 12:30:42 2024
Timers Off: Thu Jun 13 12:30:43 2024

Wall Time:        0.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.017s      0.003w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.003w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.006w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.011w      1 calls
SAD Guess                           :      0.017u      0.000s      0.010w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      9 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.000u      0.000s      0.001w      9 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      9 calls
DFH: compute_K                      :      0.000u      0.000s      0.001w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.100u      0.050s      0.086w      8 calls
HF: Form C                          :      0.017u      0.000s      0.001w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.017s      0.003w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.002w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.006w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.011w      1 calls
| SAD Guess                         :      0.017u      0.000s      0.010w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      9 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.000u      0.000s      0.001w      9 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.100u      0.050s      0.086w      8 calls
HF: Form C                          :      0.017u      0.000s      0.001w      8 calls

**************************************************************************************

Host: CHEM353Q05NALT

Timers On : Wed Jul  3 11:28:25 2024
Timers Off: Wed Jul  3 11:36:36 2024

Wall Time:      491.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM353Q05NALT

Timers On : Sat Jul 20 08:58:55 2024
Timers Off: Sat Jul 20 08:59:48 2024

Wall Time:       52.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Thu Feb 13 11:37:09 2025
Timers Off: Thu Feb 13 11:37:54 2025

Wall Time:       45.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Thu Feb 13 11:38:07 2025
Timers Off: Thu Feb 13 11:44:44 2025

Wall Time:      397.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     62.067u      2.150s     38.667w    102 calls
Libint2ERI::Libint2ERI              :     18.483u      2.850s     13.010w    306 calls
HF: Form core H                     :      0.067u      0.100s      0.116w    102 calls
HF: Form S/X                        :      0.033u      0.000s      0.019w    102 calls
HF: Guess                           :     11.333u      1.633s      7.833w    102 calls
SAD Guess                           :     11.250u      1.633s      7.783w    102 calls
HF: Form G                          :      2.150u      0.017s      1.265w   1137 calls
JK: D                               :      0.000u      0.000s      0.006w   1137 calls
JK: USO2AO                          :      0.000u      0.017s      0.006w   1137 calls
JK: JK                              :      2.133u      0.000s      1.233w   1137 calls
PK computes JK                      :      2.117u      0.000s      1.229w   1137 calls
JK: AO2USO                          :      0.017u      0.000s      0.008w   1137 calls
HF: Form F                          :      0.017u      0.000s      0.004w   1137 calls
HF: Form D                          :      0.000u      0.000s      0.006w   1137 calls
HF: DIIS                            :      2.083u      0.550s      1.791w   1035 calls
HF: Form C                          :      0.333u      0.017s      0.222w   1035 calls
CIWave: CIvect write                :      0.133u      5.533s      3.631w  23769 calls
CIWave: CIvect read                 :      1.550u     35.533s     22.045w 275739 calls
CIWave: s2                          :     24.167u      0.083s     14.664w   6151 calls
CIWave: s3                          :     92.050u      0.067s     55.308w  21091 calls
CIWave: opdm                        :     14.167u      0.133s      8.619w    204 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     62.067u      2.150s     38.667w    102 calls
| Libint2ERI::Libint2ERI            :     12.300u      1.800s      8.522w    204 calls
HF: Form core H                     :      0.067u      0.100s      0.116w    102 calls
HF: Form S/X                        :      0.033u      0.000s      0.019w    102 calls
HF: Guess                           :     11.333u      1.633s      7.833w    102 calls
| SAD Guess                         :     11.250u      1.633s      7.783w    102 calls
HF: Form G                          :      2.150u      0.017s      1.265w   1137 calls
| JK: D                             :      0.000u      0.000s      0.006w   1137 calls
| JK: USO2AO                        :      0.000u      0.017s      0.006w   1137 calls
| JK: JK                            :      2.133u      0.000s      1.233w   1137 calls
| | PK computes JK                  :      2.117u      0.000s      1.229w   1137 calls
| JK: AO2USO                        :      0.017u      0.000s      0.008w   1137 calls
HF: Form F                          :      0.017u      0.000s      0.004w   1137 calls
HF: Form D                          :      0.000u      0.000s      0.006w   1137 calls
HF: DIIS                            :      2.083u      0.550s      1.791w   1035 calls
HF: Form C                          :      0.333u      0.017s      0.222w   1035 calls
Libint2ERI::Libint2ERI              :      6.183u      1.050s      4.488w    102 calls
CIWave: CIvect write                :      0.133u      5.533s      3.631w  23769 calls
CIWave: CIvect read                 :      1.533u     35.400s     21.953w 274515 calls
CIWave: s2                          :     24.167u      0.083s     14.664w   6151 calls
CIWave: s3                          :     92.050u      0.067s     55.308w  21091 calls
CIWave: opdm                        :     14.167u      0.133s      8.619w    204 calls
| CIWave: CIvect read               :      0.017u      0.133s      0.092w   1224 calls

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Thu Feb 13 11:44:48 2025
Timers Off: Thu Feb 13 11:47:43 2025

Wall Time:      174.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      8.867u      0.200s      5.471w     52 calls
Libint2ERI::Libint2ERI              :      3.317u      0.317s      2.179w    155 calls
HF: Form core H                     :      0.017u      0.033s      0.039w     51 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     51 calls
HF: Guess                           :      2.267u      0.100s      1.384w     51 calls
SAD Guess                           :      2.217u      0.083s      1.362w     51 calls
HF: Form G                          :      0.017u      0.000s      0.036w    564 calls
JK: D                               :      0.000u      0.000s      0.001w    564 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    564 calls
JK: JK                              :      0.017u      0.000s      0.028w    564 calls
PK computes JK                      :      0.017u      0.000s      0.027w    564 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    564 calls
HF: Form F                          :      0.000u      0.000s      0.002w    564 calls
HF: Form D                          :      0.017u      0.000s      0.002w    564 calls
HF: DIIS                            :      0.933u      0.167s      0.633w    513 calls
HF: Form C                          :      0.183u      0.000s      0.070w    513 calls
CIWave: CIvect write                :      0.100u      4.017s      2.531w  13641 calls
CIWave: CIvect read                 :      1.350u     28.600s     18.045w 172532 calls
CIWave: s2                          :     22.433u      0.033s     13.601w   1391 calls
CIWave: s3                          :     77.417u      0.067s     46.621w   1391 calls
CIWave: opdm                        :     10.967u      0.100s      6.660w    102 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      8.867u      0.200s      5.471w     52 calls
| Libint2ERI::Libint2ERI            :      2.217u      0.200s      1.444w    104 calls
HF: Form core H                     :      0.017u      0.033s      0.039w     52 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     51 calls
HF: Guess                           :      2.267u      0.100s      1.384w     51 calls
